Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,10uF,
"C10, C11, C12, C13, C14, C16, C17, C18, C19, C23, C24, C27, C3, C4, C5, C6, C7, C8, C9",0402,19,100nF,
"C100, C101, C102, C103, C104, C105, C106, C107, C108, C59, C62, C65, C66, C69, C72, C73, C76, C77, C80, C81, C84, C85, C88, C89, C92, C93, C96, C97, C98, C99",1210,30,330µF/4V,
"C109, C117, C127, C137, C147, C157, C38, C39, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C53",1210,19,22µ/25V,
"C110, C118, C128, C138, C148, C158, C169, C171, C180, C196, C212, C228, C244, C260, C276, C292, C308, C324, C340, C356, C52, C54",0805,22,1µF/25V,
"C111, C116, C119, C124, C129, C134, C139, C144, C149, C154, C159, C164, C36, C37, C58",0805,15,1nF,
"C112, C113, C115, C120, C121, C123, C130, C131, C133, C140, C141, C143, C150, C151, C153, C160, C161, C163, C165, C166, C167, C168, C170, C182, C198, C214, C230, C246, C262, C278, C294, C310, C326, C342, C358",0805,35,100nF,
"C114, C122, C132, C142, C152, C162",0805,6,2.2µF/16V,
"C125, C126, C135, C136, C145, C146, C155, C156",0603,8,100n,
"C15, C2",0402,2,10uF,
"C172, C173, C174, C175, C176, C178, C181, C183, C184, C185, C186, C187, C188, C189, C190, C191, C192, C194, C197, C199, C200, C201, C202, C203, C204, C205, C206, C207, C208, C210, C213, C215, C216, C217, C218, C219, C220, C221, C222, C223, C224, C226, C229, C231, C232, C233, C234, C235, C236, C237, C238, C239, C240, C242, C245, C247, C248, C249, C250, C251, C252, C253, C254, C255, C256, C258, C261, C263, C264, C265, C266, C267, C268, C269, C270, C271, C272, C274, C277, C279, C280, C281, C282, C283, C284, C285, C286, C287, C288, C290, C293, C295, C296, C297, C298, C299, C300, C301, C302, C303, C304, C306, C309, C311, C312, C313, C314, C315, C316, C317, C318, C319, C320, C322, C325, C327, C328, C329, C330, C331, C332, C333, C334, C335, C336, C338, C341, C343, C344, C345, C346, C347, C348, C349, C350, C351, C352, C354, C357, C359, C360, C361, C362, C363",0603,144,1µF/6.3V,
"C177, C193, C209, C225, C241, C257, C273, C289, C305, C31, C321, C337, C353",0805,13,10µF/25V,
"C179, C195, C211, C227, C243, C259, C275, C291, C307, C323, C339, C355, C60, C61, C63, C64, C67, C68, C70, C71, C74, C75, C78, C79, C82, C83, C86, C87, C90, C91, C94, C95",1206,32,100µ/6.3V,
C20,0402,1,10pF,
C21,0402,1,1uF,
C22,0603,1,22uF,
"C25, C26",0402,2,18pF,
"C28, C29, C30, C32",CP_Elec_8x10,4,470µ/25V,
"C33, C35",0805,2,22pF,
C34,0805,1,100pF,
"C364, C369, C371, C372, C373, C374, C375, C376, C377, C378",0805,10,0.1uF,C28233
"C365, C368",0805,2,27pf,C107113
"C366, C367",0805,2,4.7uF,C1746
C370,0805,1,3.3uF,C159781
C40,0805,1,10nF,
C51,0805,1,4.7µF/16V,
C55,0805,1,330nF,
C56,0805,1,12pF,
C57,0805,1,2.2nF,
D1,D_SOD-128,1,"PMEG4030EP,115",
"FB1, FB2",0603,2,FerriteBead_Small,C19330
J1,PCIexpress_bracket_full,1,PCIexpress_bracket,
"J10, J7, J8, J9",CONN-TH_4P-P2.54_HCTL_HC-2510-4AW,4,61900411021,C2982043
J2,PCIexpress_x4,1,PCIexpress_x4,
"J3, J4, J5",MOLEX_353180620,3,353180620,
L1,L_Vishay_IHLP-1212,1,1uH,
L2,L_Taiyo-Yuden_NR-50xx,1,4.7µH,
"L3, L4, L5, L6, L7, L8",IFLR-4031GC-01-8x10,6,220nH,
"R1, R13, R14, R2, R30, R31, R34, R35",0603,8,49.9,
R10,0402,1,6.04K,
"R100, R91, R92, R93, R94, R95, R98",0805,7,10k,C17414
R101,0805,1,12k,C17444
R102,0805,1,1k,C17513
R11,0402,1,15K,
"R12, R5, R6, R8",0402,4,10K,
"R15, R23",0805,2,16.5K,
R16,0805,1,24.3K,
"R17, R18",0805,2,51 0.5%,
R19,0805,1,121K,
"R20, R21, R46, R47, R48",0805,5,10K,
R22,0805,1,86.6K,
R24,0805,1,2.55K,
R25,0805,1,8.06K,
R26,0805,1,49.9K,
R27,0805,1,100K,
"R28, R29",0805,2,2.2R,
R3,0402,1,75K,
"R32, R33, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45",0805,12,1R,
R4,0402,1,100K,
"R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59",0402,11,33R,
"R60, R62, R64, R66, R68, R70, R72, R74, R76, R78, R80, R82",0805,12,1K,
"R61, R63, R65, R67, R69, R71, R73, R75, R77, R79, R81, R83",0805,12,2K,
R7,0402,1,DNP,
"R84, R97, R99",0805,3,4.7k,C17673
R85,0805,1,33k,C17633
R86,0805,1,22k,C17560
"R87, R88, R89, R90",0805,4,36k,C114527
R9,0402,1,4.7K,
R96,0805,1,2.2k,C17520
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.0mm,16,TestPoint,
U1,SOT-563,1,TLV62568ADRLR,
"U10, U11, U12, U7, U8, U9",IC_CSD95490Q5MC,6,CSD95472Q5MC,
U13,Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm,1,25MHz,
U14,TSSOP-14-1EP_4.4x5mm_P0.65mm,1,TXU0304PW,
U15,SOT-23-5,1,MCP1824T-0802E,
U16,SOT-23-5,1,MCP1824T-1202E,
"U17, U18, U19, U20, U21, U22, U23, U24, U25, U26, U27, U28",BM1370,12,BM1370_mode1,
U2,SOT-23-5,1,AP2204K-1.8,
U29,QFN16_4x4MC_MCH,1,EMC2305,
U3,QFN-68-1EP_8x8mm_P0.4mm_EP5.2x5.2mm,1,VL805,
U30,TSSOP-8_L4.4-W3.0-P0.65-LS6.4-BL,1,M93C46-WDW6TP,C616741
U31,QFN50P900X900X105-65N,1,FT4232HQ,C2651882
U4,DFN-8-1EP_3x2mm_P0.5mm_EP1.36x1.46mm,1,W25Q32JVZP,
U5,SOT-23-6,1,AP3211,
U6,IC_TPS53667RTAR,1,TPS53667RTAR,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,25Mhz,
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C251626
